sample_id,Al2O3,SiO2,Li2O,ZrO2,P2O5,Na2O,TiO2,K2O,MgO,ZnO,BaO,CaO,SnO2,Fe2O3,As2O3,Sb2O3,B2O3,SrO,Ta2O5,Nd2O3,V2O5,CeO2,CoO,Cl,MnO2,MoO3,F,La2O3,Cr2O3,T_nucleation,t1,T_crystal,t2,¦Â?quartz s.s,¦Â?spodumene,Li2Si2O5(LD),Petalite,Li2SiO3(LM),Keatite,LiAlSi3O8,LiAlSi2O6,KMK,Cristobalite,Li4SiO4,Mullite,Tridymite
383,21.52109066885548,66.26493964084803,3.693619747352405,1.761726491962123,0,0.4904806710576364,2.182138495725812,0.1000980961342115,0.6306180056455326,1.8117755400292288,0.5305199095113211,0.2402354307221076,0.1801765730415807,0.0190186382655001,0,0,0,0.5205100998978999,0,0.0530519909511321,0,0,0,0,0,0,0,0,0,735,0.5,892,0.16,1,0,0,0,0,0,0,0,0,0,0,0,0
384,21.607778800368138,66.22384058260975,3.661318074506823,1.7606338281781444,0,0.4901764635268697,2.380857108559081,0.1000360129646673,0.6402304829738706,1.820655435956945,0.52018726741627,0.2400864311152015,0,0.0190068424632867,0,0,0,0.5301908687127367,0,0.0050018006482333,0,0,0,0,0,0,0,0,0,735,0.5,892,0.16,1,0,0,0,0,0,0,0,0,0,0,0,0
385,22.21177223928682,65.8348924930213,3.40180295556645,1.8309704143195893,0,0.1400742393468538,2.1411348014447658,0,0.7303871051657378,0.3201696899356659,2.111118893013297,0.4502386264720301,0.2601378730727285,0.0200106056209791,0,0,0,0.5202757461454571,0,0.0270143175883218,0,0,0,0,0,0,0,0,0,770,0.5,922,0.16,1,0,0,0,0,0,0,0,0,0,0,0,0
386,22.31137880318963,67.03418743559216,3.441755295200553,1.9910154178631103,0,0.6103112587419585,1.7709031606119123,0.2401224624558525,0,0.1900969494442165,2.121081751693364,0,0.2601326676605069,0.0290147975467488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,775,0.5,944,0.16,1,0,0,0,0,0,0,0,0,0,0,0,0
387,22.69,64.5,4.07,1.89,1.3,0.56,2.14,0.22,1.18,1,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,740,1,900,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0
388,22.85,64.96,4.1,1.9,1.31,0.56,2.16,0.22,1.19,0,0,0,0.45,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,740,1,900,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0
389,22.610000000000007,66.13000000000001,4.000000000000002,1.9600000000000009,1.3300000000000003,0.3000000000000001,1.5000000000000004,0,1.0200000000000002,0.4600000000000002,0,0,0.4400000000000001,0,0,0,0,0,0,0.2500000000000001,0,0,0,0,0,0,0,0,0,740,1,900,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0
390,22.83,64.89,4.09,1.9,1.31,0.57,2.15,0.22,1.19,0.3,0,0,0.45,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,740,1,900,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0
391,22.8,64.82,4.09,1.9,1.31,0.57,2.15,0.22,1.19,0.3,0,0,0.45,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,740,1,900,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0
392,22.78,64.74,4.09,1.9,1.31,0.57,2.15,0.22,1.19,0.3,0,0,0.45,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,740,1,900,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0
393,22.84972580329036,64.9492206093527,4.099950800590392,1.8999772002735968,1.3099842801886377,0.5699931600820789,2.149974200309596,0.2199973600316795,1.1999856001727978,0.2999964000431994,0,0,0.2499970000359995,0,0,0,0,0,0,0.1999976000287996,0,0,0.0011999856001727,0,0,0,0,0,0,740,1,900,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0
394,22.522274529509687,65.96523962198614,3.813771820330307,2.0019799581786386,0,0.3503464926812617,2.052029457133105,0,0.8708612818077077,0,1.551534467588445,0.2202177953996502,0.2001979958178639,0,0,0,0,0.3002969937267958,0,0.1501484968633979,0,0,0.0011010889769982,0,0,0,0,0,0,740,1,900,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0
395,19.908560681092872,67.32895144912312,2.7912002160929203,1.8207829366627653,0.0300129055493862,0.1400602258971358,2.4110367458006947,0.1900817351461128,2.240963614354173,1.5306581830186985,0.8403613553828148,0,0,0.0170073131446522,0.750322638734656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,770,0.5,905,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0
396,20.706211863559066,65.1195358607582,2.870861258377513,1.4004201260378109,0,0.5601680504151244,3.140942282684805,0.2500750225067519,1.5604681404421323,1.3804141242372707,2.2606782034610378,0.4301290387116133,0.2300690207062118,0.0900270081024307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,790,0.25,903,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0
397,21.10886572360392,67.2282358590608,2.6611176694211567,1.8207647211828968,0.0300126052942235,0.4001680705896476,2.1909201864783205,0.1000420176474119,2.4010084235378857,1.640689089417555,0,0.2000840352948238,0.1900798335300826,0.0120050421176894,0,0,0,0,0,0.0160067228235859,0,0,0,0,0,0,0,0,0,765,0.5,898,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0
398,20.004801152276546,67.51620388893335,3.7108906137473,1.8204369048571656,0.0300072017284148,0.1400336080659358,2.380571337120909,0.1800432103704889,1.0402496599183804,1.5303672881491557,0.8201968472433383,0,0,0.0160038409218212,0.8101944466672001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,765,0.5,898,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0
399,20.612573669938666,65.2397962757282,2.8517395611322907,1.390848417534696,0.0600366223396271,0.5503357047799158,3.131910465383884,0.2101281781886951,1.5709582845535777,1.400854521257967,2.201342819119663,0.4302624601006614,0.2301403856352374,0.0920561542540949,0,0,0,0,0,0,0.0270164800528322,0,0,0,0,0,0,0,0,775,0.5,899,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0
400,20.61092378960849,65.13452129628703,2.1211241958237865,1.3907370906580487,0,0.5402863517664362,3.151670385304211,0.2101113590202807,2.4412938857594524,1.4207529990895174,2.201166618307703,0.430228020851051,0.2301219646412598,0.091048255575455,0,0,0,0,0,0,0.0260137873072728,0,0,0,0,0,0,0,0,775,0.5,911,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0
401,19.80911219160814,65.43009784500872,2.6612241631150333,1.5507133281309404,0.0600276127018428,0.5002301058486904,3.251495688016488,0.2201012465734238,1.7508053704704165,1.6907777577685734,2.020929627628709,0.6703083418372452,0.2501150529243452,0.0870400384176721,0,0,0,0,0,0,0.0270124257158292,0,0,0,0.0200092042339476,0,0,0,0,770,0.5,900,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0
402,19.508974128098927,65.63018988734818,2.5811873461792425,1.510694919663045,0.0600276127018428,0.5902715249014547,3.4015647197710948,0.2201012465734238,1.6007363387158091,1.570722532364888,2.281049282670028,0.6603037397202715,0.2501150529243452,0.0870400384176721,0,0,0,0,0,0,0.0270124257158292,0,0,0,0.0200092042339476,0,0,0,0,790,0.25,900,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0
403,18.01873948906864,65.16777448546489,2.5826859934331714,1.4414991591254909,0,0.5305517738447988,3.2934251621686563,0.2102186273724674,1.6316969648434376,1.3814366941619287,1.42147833747097,3.023144069832626,0.2402498598542484,0.0920957796107952,0,0,0.9409786177624732,0,0,0,0.0240249859854248,0,0,0,0,0,0,0,0,765,0.5,850,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0
404,18.52037240965061,66.17279006907597,2.7229952948243064,1.511662829112023,0,0.5606166783461808,3.3637000700770843,0.2202422664931424,1.651816998698568,1.4115527079787764,1.451596756432075,2.0422464711182298,0.2502753028331164,0.0951046150765842,0,0,0,0,0,0,0.0250275302833116,0,0,0,0,0,0,0,0,765,0.5,870,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0
405,19.81743934662503,65.2574265353511,2.7023780927215952,0,0.070061654255745,0.4904315797902153,5.0744655296661065,0.2201937705180558,1.7415325486428055,1.621426855632957,1.94170870365922,0.7006165425574504,0.250220193770518,0.0930819120826327,0,0,0,0,0,0,0.0190167347265593,0,0,0,0,0,0,0,0,775,0.5,900,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0
406,20.90689927676133,65.12149009173027,3.7012214030630113,1.3604489481528903,0.0700231076255164,0.5901947642722098,3.1010233377014416,0.2300759250552682,0.3701221403063011,1.5004951634039234,2.2807526483739635,0.4201386457530985,0.2400792261446277,0.0800264087148759,0,0,0,0,0,0,0.0240079226144627,0,0.0030009903268078,0,0,0,0,0,0,775,0.5,900,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0
407,21.00336053768603,67.3107697231557,4.110657705232837,1.740278444551128,0.0300048007681229,0.1100176028164506,2.2603616578652583,0.0500080012802048,0.5800928148503761,1.6502640422467594,0.0500080012802048,0.4600736117778845,0,0.0140022403584573,0.5400864138262123,0,0,0.0900144023043687,0,0,0,0,0,0,0,0,0,0,0,735,0.5,888,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0
408,20.91171055791244,67.83798927399344,4.132314095893701,1.6909469302809577,0,0,2.211238293444329,0,0.480268950612343,1.6309133114544148,0,0.5002801568878573,0,0.01400784439286,0.5603137757144002,0,0,0.0300168094132714,0,0,0,0,0,0,0,0,0,0,0,730,0.5,894,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0
409,20.811654526534863,67.83798927399344,4.132314095893701,1.7009525334187148,0,0.1300728407908429,2.301288721684144,0,0.6603698070919717,1.4708236612503005,0,0.2801568878572001,0,0.01400784439286,0.6603698070919717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,730,0.5,891,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0
410,21.6071303530165,66.52195224424061,4.571508597837287,1.6805545830123942,0.0300099032680784,0,2.250742745105885,0.0600198065361569,0.5601848610041315,1.550511668850721,0,0.4601518501105365,0,0.0170056118519111,0.6001980653615694,0,0,0.0900297098042354,0,0,0,0,0,0,0,0,0,0,0,720,0.5,878,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0
411,21.106965298548523,67.52228235317655,4.3714425760500975,1.7105644862804728,0,0.1000330108935949,2.260746046195244,0.0600198065361569,0.2000660217871898,1.490491862314564,0,0.470155151199896,0,0.0170056118519111,0.6001980653615694,0,0,0.0900297098042354,0,0,0,0,0,0,0,0,0,0,0,730,0.5,894,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0
412,20.60391474380132,67.4128084336024,4.190796251287745,1.8403496664366228,0.0200038007221372,0.0800152028885488,2.2904351826847096,0.0600114021664116,0.4600874166091557,1.6503135595763194,0.4800912173312929,0.2300437083045778,0,0.0120022804332823,0.50009501805343,0,0,0.1600304057770976,0,0.0090017103249617,0,0,0,0,0,0,0,0,0,740,0.5,888,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0
413,20.603502595441228,67.61149395397219,4.19071242111159,1.850314553474091,0,0.1100187031795405,2.2703859656141545,0.0800136023123931,0.5200884150305553,1.6402788474040586,0.2500425072262285,0.150025504335737,0,0.0130022103757638,0.5100867147415061,0,0,0.2000340057809828,0,0,0,0,0,0,0,0,0,0,0,745,0.5,885,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0
414,20.60865563536686,67.9285299825927,4.101722723543888,1.8507773264771208,0.0200084035294823,0.1100462194121531,2.2609495988315094,0.0500210088237059,0.570239500590248,1.650693291182297,0,0.470197482942836,0.210088237059565,0.0180075631765341,0,0,0,0.0900378158826707,0,0.0600252105884471,0,0,0,0,0,0,0,0,0,745,0.5,887,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0
415,20.71698793010269,67.65547749154307,4.213455033127165,1.821493624772314,0.0200164134590364,0.100082067295182,2.2918793410596696,0.0800656538361456,0.4904021297463921,1.7314197642066498,0.2502051682379552,0.1401148942132549,0.2101723413198823,0.0180147721131327,0,0,0,0.2001641345903641,0,0.0600492403771092,0,0,0,0,0,0,0,0,0,740,0.5,890,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0
416,21.60561746053974,65.21695640866625,3.730970052213576,1.7804629203592932,0,0.4701222317802628,2.3806189609298416,0,0.5601456378658451,1.6304239102166562,1.910496729149579,0,0,0.0140036409466461,0.7001820473323064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,743,0.5,892,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0
417,21.318120402342,66.756743231747,3.723164689986489,1.8315568232998047,0,0.5004253615573238,2.221888605314517,0.1201020867737577,0.2101786518540759,1.7214632437571935,0.5304508832507633,0.2402041735475154,0.2902467097032478,0.0150127608467197,0,0,0,0.5204423760196167,0,0,0,0,0,0,0,0,0,0,0,750,0.5,800,0.66,1,0,0,0,0,0,0,0,0,0,0,0,0
418,21.42249361829921,67.0704239451424,3.763952149757245,1.8319235196956805,0.0200210220731768,0.5005255518294209,2.2323439611592173,0.120126132439061,0.2102207317683568,1.7117973872566197,0.550578107012363,0.2502627759147104,0.3003153310976525,0.0150157665548826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750,0.5,800,0.66,1,0,0,0,0,0,0,0,0,0,0,0,0
419,21.311721446795737,66.73670518785332,3.742058131972585,1.821001550852969,0.0300165090799939,0.5102806543598979,2.221221671919556,0.1200660363199759,0.2101155635599579,1.700935514532993,0.8904897693731552,0.3902146180399219,0.2901595877732753,0.0150082545399969,0,0,0,0.0100055030266646,0,0,0,0,0,0,0,0,0,0,0,750,0.5,800,0.66,1,0,0,0,0,0,0,0,0,0,0,0,0
420,21.30831024099399,66.92610117945999,3.5713928432088515,1.8207100769300024,0.0300117045647802,0.5101989776012645,2.22086613779374,0.1100429167375276,0.2200858334750552,1.6906593571492885,0.8903472354218145,0.3901521593421435,0.2901131441262092,0.0150058522823901,0,0,0,0,0,0.006002340912956,0,0,0,0,0,0,0,0,0,750,0.5,800,0.66,1,0,0,0,0,0,0,0,0,0,0,0,0
421,21.413919047380794,66.54325311452443,3.702406564266773,1.8211837694501427,0,0.5503577325261421,2.231450442787812,0.1100715465052284,0.3502276479711812,1.691099214489418,0.8905788762695752,0.3902536648821734,0.290188622604693,0.015009756341622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750,0.5,800,0.66,1,0,0,0,0,0,0,0,0,0,0,0,0
422,21.42163585221073,66.46713180312116,3.743781219031222,1.7918097278251035,0.0300303306339402,0.5505560616222385,2.2622849077568343,0.1101112123244476,0.3503538573959698,1.6516681848667152,0.820829037327701,0.3903942982412236,0.280283085916776,0.0150151653169701,0,0,0,0.070070771479194,0,0.044044484929779,0,0,0,0,0,0,0,0,0,750,0.5,800,0.66,1,0,0,0,0,0,0,0,0,0,0,0,0
423,21.41841984106331,66.55723922573412,3.7031847388754326,1.7915407250235198,0.0300258222070981,0.5704906219348638,2.231919450727625,0.0900774666212942,0.2802410072662489,1.7014632584022256,0.870748844005845,0.3903356886922753,0.300258222070981,0.0140120503633124,0,0,0,0.0500430370118301,0,0,0,0,0,0,0,0,0,0,0,750,0.5,800,0.66,1,0,0,0,0,0,0,0,0,0,0,0,0
424,21.22313321520457,66.77278233274268,3.6840155769789074,1.7919532290196314,0.0300327356818932,0.5706219779559719,2.2224224404601016,0.0900982070456797,0.2803055330310038,1.6618113743980936,0.8709493347749045,0.380414651970648,0.3003273568189326,0.0140152766515501,0,0,0,0.0500545594698221,0,0.0570621977955971,0,0,0,0,0,0,0,0,0,750,0.5,800,0.66,1,0,0,0,0,0,0,0,0,0,0,0,0
425,21.33178435869446,66.59923285695687,3.685491382159418,1.8026860021431936,0.0300447667023865,0.5708505673453446,2.2433425804448635,0.0901343001071596,0.270402900321479,1.7025367798019049,1.241850357031978,0.0120179066809546,0.3004476670238656,0.0140208911277803,0,0,0,0.0500746111706442,0,0.0550820722877086,0,0,0,0,0,0,0,0,0,750,0.5,800,0.66,1,0,0,0,0,0,0,0,0,0,0,0,0
426,21.227595874637025,66.68669270051065,3.6948032442174825,1.7923300290377489,0.0300390507659957,0.57074196455392,2.222889756683689,0.0901171522979873,0.2803644738159608,1.622108741363773,0.7309502353058976,0.6308200660859117,0.3003905076599579,0.0150195253829978,0,0,0,0.0500650846099929,0,0.0550715930709922,0,0,0,0,0,0,0,0,0,750,0.5,800,0.66,1,0,0,0,0,0,0,0,0,0,0,0,0
